grantee,table_schema,table_name,privilege_type
anon,public,audit_log,DELETE
anon,public,audit_log,INSERT
anon,public,audit_log,REFERENCES
anon,public,audit_log,SELECT
anon,public,audit_log,TRIGGER
anon,public,audit_log,TRUNCATE
anon,public,audit_log,UPDATE
authenticated,public,audit_log,DELETE
authenticated,public,audit_log,INSERT
authenticated,public,audit_log,REFERENCES
authenticated,public,audit_log,SELECT
authenticated,public,audit_log,TRIGGER
authenticated,public,audit_log,TRUNCATE
authenticated,public,audit_log,UPDATE
postgres,public,audit_log,DELETE
postgres,public,audit_log,INSERT
postgres,public,audit_log,REFERENCES
postgres,public,audit_log,SELECT
postgres,public,audit_log,TRIGGER
postgres,public,audit_log,TRUNCATE
postgres,public,audit_log,UPDATE
service_role,public,audit_log,DELETE
service_role,public,audit_log,INSERT
service_role,public,audit_log,REFERENCES
service_role,public,audit_log,SELECT
service_role,public,audit_log,TRIGGER
service_role,public,audit_log,TRUNCATE
service_role,public,audit_log,UPDATE
anon,public,audit_logs,DELETE
anon,public,audit_logs,INSERT
anon,public,audit_logs,REFERENCES
anon,public,audit_logs,SELECT
anon,public,audit_logs,TRIGGER
anon,public,audit_logs,TRUNCATE
anon,public,audit_logs,UPDATE
authenticated,public,audit_logs,DELETE
authenticated,public,audit_logs,INSERT
authenticated,public,audit_logs,REFERENCES
authenticated,public,audit_logs,SELECT
authenticated,public,audit_logs,TRIGGER
authenticated,public,audit_logs,TRUNCATE
authenticated,public,audit_logs,UPDATE
postgres,public,audit_logs,DELETE
postgres,public,audit_logs,INSERT
postgres,public,audit_logs,REFERENCES
postgres,public,audit_logs,SELECT
postgres,public,audit_logs,TRIGGER
postgres,public,audit_logs,TRUNCATE
postgres,public,audit_logs,UPDATE
service_role,public,audit_logs,DELETE
service_role,public,audit_logs,INSERT
service_role,public,audit_logs,REFERENCES
service_role,public,audit_logs,SELECT
service_role,public,audit_logs,TRIGGER
service_role,public,audit_logs,TRUNCATE
