table_name,ordinal_position,column_name,data_type,is_nullable,column_default
audit_log,1,id,uuid,NO,gen_random_uuid()
audit_log,2,user_id,uuid,YES,null
audit_log,3,action,text,YES,null
audit_log,4,payload,jsonb,YES,null
audit_log,5,created_at,timestamp with time zone,YES,now()
audit_logs,1,id,uuid,NO,gen_random_uuid()
audit_logs,2,user_id,uuid,YES,null
audit_logs,3,session_id,uuid,YES,null
audit_logs,4,event_type,text,NO,null
audit_logs,5,device,text,YES,null
audit_logs,6,user_agent,text,YES,null
audit_logs,7,created_at,timestamp with time zone,YES,now()
auth_event_logs,1,id,uuid,NO,gen_random_uuid()
auth_event_logs,2,user_id,uuid,YES,null
auth_event_logs,3,email,text,YES,null
auth_event_logs,4,event_type,text,NO,null
auth_event_logs,5,success,boolean,NO,false
auth_event_logs,6,message,text,YES,null
auth_event_logs,7,metadata,jsonb,NO,'{}'::jsonb
auth_event_logs,8,created_at,timestamp with time zone,NO,now()
client_error_logs,1,id,uuid,NO,gen_random_uuid()
client_error_logs,2,user_id,uuid,YES,null
client_error_logs,3,area,text,NO,null
client_error_logs,4,message,text,NO,null
client_error_logs,5,details,jsonb,NO,'{}'::jsonb
client_error_logs,6,created_at,timestamp with time zone,NO,now()
config_change_logs,1,id,uuid,NO,gen_random_uuid()
config_change_logs,2,user_id,uuid,YES,null
config_change_logs,3,site_id,text,YES,null
config_change_logs,4,scope,text,NO,'manual_process'::text
config_change_logs,5,action,text,NO,'update'::text
config_change_logs,6,before_config,jsonb,YES,null
config_change_logs,7,after_config,jsonb,YES,null
config_change_logs,8,created_at,timestamp with time zone,NO,now()
correction_log,1,id,uuid,NO,gen_random_uuid()
correction_log,2,entry_id,uuid,YES,null
correction_log,3,user_id,uuid,YES,null
correction_log,4,reason,text,YES,null
correction_log,5,old_value,jsonb,YES,null
correction_log,6,new_value,jsonb,YES,null
correction_log,7,created_at,timestamp with time zone,YES,now()
correction_log,8,comment,text,YES,null
correction_log,9,site_id,text,YES,null
empty_location_inventory_log,1,id,uuid,NO,gen_random_uuid()
empty_location_inventory_log,2,location_id,uuid,NO,null
empty_location_inventory_log,3,session_id,uuid,YES,null
empty_location_inventory_log,4,user_id,uuid,YES,null
empty_location_inventory_log,5,operator_email,text,YES,null
empty_location_inventory_log,6,zone,text,NO,null
empty_location_inventory_log,7,action,text,NO,null
empty_location_inventory_log,8,related_entry_id,uuid,YES,null
empty_location_inventory_log,9,issue_id,uuid,YES,null
empty_location_inventory_log,10,created_at,timestamp with time zone,NO,now()
empty_location_issues,1,id,uuid,NO,gen_random_uuid()
empty_location_issues,2,location_id,uuid,NO,null
empty_location_issues,3,session_id,uuid,YES,null
empty_location_issues,4,user_id,uuid,YES,null
empty_location_issues,5,operator_email,text,YES,null
empty_location_issues,6,zone,text,NO,null
empty_location_issues,7,issue_type,text,NO,null
empty_location_issues,8,note,text,YES,null
empty_location_issues,9,status,text,NO,'open'::text
empty_location_issues,10,created_at,timestamp with time zone,NO,now()
empty_location_issues,11,resolved_at,timestamp with time zone,YES,null
empty_location_issues,12,source_process,text,YES,null
empty_location_issues,13,location_code,text,YES,null
empty_location_issues,14,previous_location_status,text,YES,null
empty_location_issues,15,resolved_by,uuid,YES,null
empty_location_issues,16,updated_at,timestamp with time zone,YES,null
entries,1,id,uuid,NO,gen_random_uuid()
entries,2,session_id,uuid,YES,null
entries,3,operator,text,NO,null
entries,4,location,text,YES,null
entries,5,ean,text,YES,null
entries,6,sku,text,YES,null
entries,7,lot,text,YES,null
