table_name,column_name,foreign_table_name,foreign_column_name,constraint_name
audit_log,user_id,profiles,id,audit_log_user_id_fkey
correction_log,entry_id,entries,id,correction_log_entry_id_fkey
correction_log,user_id,profiles,id,correction_log_user_id_fkey
empty_location_inventory_log,issue_id,empty_location_issues,id,empty_location_inventory_log_issue_id_fkey
empty_location_inventory_log,location_id,locations,id,empty_location_inventory_log_location_id_fkey
empty_location_inventory_log,related_entry_id,entries,id,empty_location_inventory_log_related_entry_id_fkey
empty_location_inventory_log,session_id,sessions,id,empty_location_inventory_log_session_id_fkey
empty_location_issues,location_id,locations,id,empty_location_issues_location_id_fkey
empty_location_issues,session_id,sessions,id,empty_location_issues_session_id_fkey
entries,session_id,sessions,id,entries_session_id_fkey
entries,session_id,sessions,id,fk_session
import_logs,user_id,profiles,id,import_logs_user_id_fkey
location_issues,location_id,locations,id,location_issues_location_id_fkey
location_issues,user_id,profiles,id,location_issues_user_id_fkey
locations,session_id,sessions,id,locations_session_id_fkey
prices,product_id,products,id,prices_product_id_fkey
stock,location_id,locations,id,stock_location_id_fkey
stock,product_id,products,id,stock_product_id_fkey
user_site_access,site_id,sites,id,user_site_access_site_id_fkey
