schemaname,tablename,indexname,indexdef
public,audit_log,audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
public,audit_log,idx_audit_user,CREATE INDEX idx_audit_user ON public.audit_log USING btree (user_id)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,auth_event_logs,auth_event_logs_created_at_idx,CREATE INDEX auth_event_logs_created_at_idx ON public.auth_event_logs USING btree (created_at DESC)
public,auth_event_logs,auth_event_logs_pkey,CREATE UNIQUE INDEX auth_event_logs_pkey ON public.auth_event_logs USING btree (id)
public,auth_event_logs,auth_event_logs_user_id_idx,CREATE INDEX auth_event_logs_user_id_idx ON public.auth_event_logs USING btree (user_id)
public,client_error_logs,client_error_logs_created_at_idx,CREATE INDEX client_error_logs_created_at_idx ON public.client_error_logs USING btree (created_at DESC)
public,client_error_logs,client_error_logs_pkey,CREATE UNIQUE INDEX client_error_logs_pkey ON public.client_error_logs USING btree (id)
public,client_error_logs,client_error_logs_user_id_idx,CREATE INDEX client_error_logs_user_id_idx ON public.client_error_logs USING btree (user_id)
public,config_change_logs,config_change_logs_created_at_idx,CREATE INDEX config_change_logs_created_at_idx ON public.config_change_logs USING btree (created_at DESC)
public,config_change_logs,config_change_logs_pkey,CREATE UNIQUE INDEX config_change_logs_pkey ON public.config_change_logs USING btree (id)
public,config_change_logs,config_change_logs_user_id_idx,CREATE INDEX config_change_logs_user_id_idx ON public.config_change_logs USING btree (user_id)
public,correction_log,correction_log_created_at_idx,CREATE INDEX correction_log_created_at_idx ON public.correction_log USING btree (created_at DESC)
public,correction_log,correction_log_entry_id_idx,CREATE INDEX correction_log_entry_id_idx ON public.correction_log USING btree (entry_id)
public,correction_log,correction_log_pkey,CREATE UNIQUE INDEX correction_log_pkey ON public.correction_log USING btree (id)
public,correction_log,correction_log_site_id_idx,CREATE INDEX correction_log_site_id_idx ON public.correction_log USING btree (site_id)
public,correction_log,correction_log_user_created_idx,"CREATE INDEX correction_log_user_created_idx ON public.correction_log USING btree (user_id, created_at DESC)"
public,correction_log,idx_correction_entry,CREATE INDEX idx_correction_entry ON public.correction_log USING btree (entry_id)
public,empty_location_inventory_log,empty_location_inventory_log_pkey,CREATE UNIQUE INDEX empty_location_inventory_log_pkey ON public.empty_location_inventory_log USING btree (id)
public,empty_location_inventory_log,idx_empty_location_inventory_log_created_at,CREATE INDEX idx_empty_location_inventory_log_created_at ON public.empty_location_inventory_log USING btree (created_at DESC)
public,empty_location_inventory_log,idx_empty_location_inventory_log_zone,CREATE INDEX idx_empty_location_inventory_log_zone ON public.empty_location_inventory_log USING btree (zone)
public,empty_location_issues,empty_location_issues_pkey,CREATE UNIQUE INDEX empty_location_issues_pkey ON public.empty_location_issues USING btree (id)
